announcement_id,created_at,outbound_id,destination_url,user_id
2,2024-08-29 11:45:28.717888,1,,1QN88YY18V3KXSYWBPSVK44DP0
2,2024-08-31 17:23:36.338476,2,,2JW8ZMPD62F2C9KD8DPH8V4GGR
2,2024-09-04 00:36:31.087550,3,,NJKH8JN3HSJPEVJM6BTNBZTTWF
3,2025-02-11 01:49:05.514829,4,https://out.example.com/r/3/4,45NCQYE0DDG4R0KRA3Y2N24H8Y
3,2025-02-02 23:54:13.841004,5,https://out.example.com/r/3/5,2KP1CRC1E45SJ3JY9A2WXPZG7Z
11,2025-05-16 11:04:33.298321,6,https://out.example.com/r/11/6,7RFK4NPN78CJABTHAA7TN4V1N0
12,2025-11-08 18:10:57.555736,7,https://out.example.com/r/12/7,D3NAXJ7TDSHVR1XC4D63VTBR6W
18,2024-03-13 02:29:02.576587,8,,J7C7FNQNXK83Y98EPVX85ZR4ZX
19,2024-04-12 16:22:04.281798,9,https://out.example.com/r/19/9,B4Q6CJGW42WQDJNJ8PY7KXWCJQ
19,2024-04-15 07:01:10.383928,10,https://out.example.com/r/19/10,Y5VT2SN46WJKYCB5YWMJMXJYX1
19,2024-04-14 17:05:18.655453,11,https://out.example.com/r/19/11,4MMPF3KR33J23H8G6931YSPM2D
21,2024-12-08 18:39:05.385713,12,,EB5NA23ZJ4RRHD2R1J9F6SZ8D8
22,2025-01-10 00:17:46.835160,13,https://out.example.com/r/22/13,HZ1JDG6Y3NC84GXPBG5ERWFSZH
23,2024-07-30 12:07:25.278028,14,https://out.example.com/r/23/14,M33VAD9TVKTF4HPSBKTED7D05T
23,2024-08-05 19:47:30.667468,15,,G9W0ERRFE9ST91Q9QR98SN5NFZ
23,2024-08-06 04:31:00.581004,16,https://out.example.com/r/23/16,SGT79MW8DQAXE5S873E5T9PHNN
24,2024-08-26 10:51:50.263760,17,https://out.example.com/r/24/17,8ZB32430T8E490DXQ3YZ10T01H
24,2024-09-05 07:36:06.227569,18,,ZX0E8Y3JSRCE2GPS5W8GE75PXN
24,2024-09-12 10:11:37.672278,19,https://out.example.com/r/24/19,0YRFK68CS757DVYD1S426QP8NT
26,2025-07-13 19:05:58.803963,20,https://out.example.com/r/26/20,PSAEX8EZBBND62EEY30K9DG2DW
26,2025-07-07 22:10:37.721247,21,https://out.example.com/r/26/21,G445S9M2EHF7G4KDW1H1K8RZ2J
26,2025-07-11 10:47:43.124017,22,https://out.example.com/r/26/22,JKSBHE7JCNV0FG44HVBPNH691H
29,2024-07-13 15:54:42.078456,23,https://out.example.com/r/29/23,2A85QZZQKHA59NNZZHYZ5BHDE4
29,2024-07-12 19:17:10.910087,24,https://out.example.com/r/29/24,39F2RHSAGEKEPGSNB7B6PR2FW4
31,2024-10-05 18:41:34.607421,25,https://out.example.com/r/31/25,CN66Q7R3S06RQHAYHGC50AZKWM
31,2024-10-12 03:02:40.363862,26,https://out.example.com/r/31/26,SRXB1JGA3V3C6QRJG9BTG7S5AP
31,2024-10-06 12:39:37.572749,27,,WX62GZKXHNS3668MTTMSBYF68K
32,2025-11-29 17:44:26.366289,28,https://out.example.com/r/32/28,E5GGXZD5N6NFREZGNP2S8P1EQ6
32,2025-11-14 22:10:01.321844,29,https://out.example.com/r/32/29,ZCA8EPGV7DK96B40H0KASDYZAP
32,2025-11-19 17:50:49.536166,30,https://out.example.com/r/32/30,9A464BSK965MGGZDXX3Z3Q1W1Q
33,2025-06-18 06:05:17.967070,31,https://out.example.com/r/33/31,8VKNMB4ZQ3JZ8Z9XQKH9A0V4Q2
41,2024-08-21 23:17:21.229650,32,https://out.example.com/r/41/32,2Z161NCQVZBTBQN8PXT5P1FCPG
41,2024-09-04 19:24:39.853623,33,https://out.example.com/r/41/33,9GSRE66MT0CARCGC39VA1J8G17
43,2025-11-29 14:44:16.692011,34,https://out.example.com/r/43/34,64E72E3P9W1CGG4HK3KD0ZPPH2
43,2025-12-05 20:19:18.247608,35,https://out.example.com/r/43/35,GNXK1QZMRA7V8XV4XKWJZSN3NB
43,2025-11-23 03:23:26.509876,36,https://out.example.com/r/43/36,3FECDJV9BTG9G026YHAQ6JGYFC
44,2025-09-16 13:08:33.305477,37,https://out.example.com/r/44/37,4YZA4SYWXP1N5AWS9H2THG9AFW
44,2025-09-21 03:10:37.310681,38,https://out.example.com/r/44/38,AAK4H731MD1J23HJG67XVEN3DY
44,2025-09-16 06:08:51.489820,39,https://out.example.com/r/44/39,2P5CS2E6R7YVWK8A31JQZH2JKA
45,2024-05-09 16:04:59.732834,40,https://out.example.com/r/45/40,TATTQYMJ05XA2KJ0F391MPJ87K
45,2024-05-06 06:36:47.352481,41,,QY38RSDTS7HD7HWEW04KR6AAGV
49,2024-04-06 08:26:39.523860,42,https://out.example.com/r/49/42,6HYQEFSQAJWHSVMENDT8NF9JCR
52,2024-02-10 02:14:16.426997,43,https://out.example.com/r/52/43,93T5P6RVT78PQ3AJ2T98G2H9Q6
56,2025-10-28 17:30:53.318220,44,,8S6RCKZ7CKCBWVX7MQZ9FVP1HH
57,2025-03-23 07:56:25.889774,45,https://out.example.com/r/57/45,SRVK7HE5DWG1053760TFABHHFA
59,2025-10-19 09:35:23.719691,46,https://out.example.com/r/59/46,NKYC928CTGPQW7V4YT1AH8J23C
60,2025-02-11 06:52:49.054770,47,https://out.example.com/r/60/47,SWPT67DCPF24DSDDNZQYYYZR6A
60,2025-02-16 04:59:59.904303,48,https://out.example.com/r/60/48,RMT93CVDGKJDGSRFE649CEQWT5
63,2024-06-24 09:34:59.337504,49,https://out.example.com/r/63/49,QJWF5NRRFZBPP76RJFS28FYZBX
63,2024-06-22 03:11:45.052775,50,https://out.example.com/r/63/50,B3TSAS4371EXZ8BA9TSEFYR5MR
63,2024-06-24 13:34:32.622341,51,https://out.example.com/r/63/51,PA050PK2N0K95T504Y93MSJS8H
64,2024-08-04 16:38:20.968377,52,https://out.example.com/r/64/52,P5KWPCK54MYDD3322H2TQSP9FJ
64,2024-08-05 07:08:58.443072,53,https://out.example.com/r/64/53,DC6X8K0DSG57BTRJX5TW1TEDNE
65,2025-05-10 17:05:55.682897,54,,0RQ3GN84MBHXF5RE0R187RS399
66,2024-09-10 21:08:15.269535,55,,WJ2Z6WC8X3PQ1E430SJDK0D70H
66,2024-09-19 12:34:24.970888,56,https://out.example.com/r/66/56,W65TY8S3DE9XJT87YAW4J05R36
67,2025-10-25 04:31:52.544255,57,https://out.example.com/r/67/57,ME4F25QAHCGKR4E4T6RD0YRSZF
67,2025-10-29 17:07:17.978337,58,https://out.example.com/r/67/58,E8VJTQTQ4A2K06FZ0R9P04E82C
68,2025-08-23 15:57:35.161919,59,https://out.example.com/r/68/59,WTX7K29K201PJ6TFR7CEM8GAKH
68,2025-08-16 17:15:16.403895,60,https://out.example.com/r/68/60,2B4N68P5DRH2MJ6RNAEZ00WZYQ
68,2025-08-15 22:12:15.898577,61,https://out.example.com/r/68/61,54YGQV39TY4K2S91RC4WRGW6GF
69,2024-10-18 09:12:37.055751,62,https://out.example.com/r/69/62,16A4WNVDKCS4HNQ25A1GF5AVVV
69,2024-10-17 03:20:08.111020,63,https://out.example.com/r/69/63,Z3XXSM5N7VQAZPAPFMWCKJS575
75,2024-12-08 17:38:34.404671,64,https://out.example.com/r/75/64,CH7G61P8RSCTKAX94BSGMJCRZT
75,2024-12-07 20:14:26.423773,65,https://out.example.com/r/75/65,X2ZD38V8Z64WEPJTV2T6MMBF20
75,2024-12-04 18:04:03.578096,66,https://out.example.com/r/75/66,GAG1CYZQ9MJDEANNGNWEW5970W
77,2024-10-13 00:37:01.451252,67,https://out.example.com/r/77/67,SCEQEH60FGPPP36GND3ZD31B80
77,2024-10-18 16:19:16.422085,68,https://out.example.com/r/77/68,R26CD0ZXAS89XP3JPE98KQ38MX
77,2024-10-09 10:17:02.164175,69,https://out.example.com/r/77/69,MN7JW9G3C88FHYZ4JVN2FPMQPW
78,2024-02-25 09:26:18.887676,70,https://out.example.com/r/78/70,FD0R704B3M1GRNRZPE2MSWQN0A
79,2024-01-29 19:38:19.823109,71,https://out.example.com/r/79/71,2X3AVSZ1RVBPDBHHW92FJZTY35
79,2024-01-16 18:14:55.272680,72,,R6PZ4RA4DZX3N9VSKQDVFX472K
79,2024-01-22 04:35:29.961616,73,,0000YV9KM30GRGKQFGH37JYY2S
84,2025-11-27 22:57:18.142816,74,https://out.example.com/r/84/74,JKSBHE7JCNV0FG44HVBPNH691H
86,2024-05-24 01:35:58.705332,75,,SMK9BC5ZAYCMTEKPS9JJETEEBK
86,2024-05-21 11:23:15.993746,76,https://out.example.com/r/86/76,794S63GT35W7FJ6M5SRKKSAAX7
86,2024-05-16 19:53:07.231114,77,,R49894Y4AFTQEGT3V2MS1CQSWE
89,2023-12-24 08:01:53.973095,78,https://out.example.com/r/89/78,PTWDQ081Q1B5EABZ94P6H2YBSP
89,2023-12-24 09:10:32.090810,79,https://out.example.com/r/89/79,3PSYDWBWNCQ78QHF0D4SH0K1XK
93,2025-02-01 00:07:05.374847,80,https://out.example.com/r/93/80,VQ2136Y7YMJZC1SPKPAT3YBJ26
96,2024-04-18 22:29:16.516354,81,,19SZA4APZ4QWZE7YNFSEWR2ES7
96,2024-04-18 18:11:21.985115,82,https://out.example.com/r/96/82,E17TXRNQRXFBECRK6JFKJSAB1Z
96,2024-04-18 17:21:46.356885,83,https://out.example.com/r/96/83,AJV8090S5R2MVJ4QBZAS7FJFP4
106,2024-10-20 21:29:57.081898,84,https://out.example.com/r/106/84,484AS92AQJA21E5N1Z25NS5SG7
106,2024-10-28 01:57:17.052444,85,https://out.example.com/r/106/85,9KHK72SMTPWHFF72V16S7KF1S6
107,2025-10-14 22:18:19.910830,86,,K7Q5YTFT51PK0E3C9PEQMNQCWB
107,2025-10-05 05:34:08.012126,87,https://out.example.com/r/107/87,0S5D5TDRM1FY08SYQS6B9EGRP1
107,2025-10-09 15:28:13.871028,88,,95DB9NM1V3VK1GQGKV75KGX13A
109,2024-09-29 03:55:19.400866,89,https://out.example.com/r/109/89,2CG4ETM4XRZEY9ZAP1SCPE7A7Q
111,2025-04-13 18:55:54.590574,90,https://out.example.com/r/111/90,ZJ49G70WSR5ZAZ1ADX4KJ6DRBX
111,2025-04-17 23:37:19.244414,91,,9W88VCWSBTX35384E53AQ1G0B9
111,2025-04-05 18:01:28.591342,92,https://out.example.com/r/111/92,QBZVDTQQSHWB8E6HFVRC99Y0BT
112,2025-04-04 10:34:44.090151,93,https://out.example.com/r/112/93,A1WRJJ4YPP8NE4BPM8M11C3XCY
112,2025-04-05 10:42:38.999556,94,https://out.example.com/r/112/94,YJ1NDR8M59D74NG647181R0Z6F
113,2023-12-17 15:35:45.933213,95,https://out.example.com/r/113/95,Y2QX5ATMRPRH6VMSRTX6NX7578
113,2023-12-15 04:52:54.095784,96,https://out.example.com/r/113/96,HPXJTQ1N8Y1BPV67JDMC2K0YYQ
114,2024-03-06 19:18:17.454261,97,https://out.example.com/r/114/97,BRYFBXXVSECWNCJ2RR7RGJ7ZF4
114,2024-03-04 14:34:30.839862,98,https://out.example.com/r/114/98,C116CWANPA7YJ719F5YRWTBJNE
114,2024-03-05 18:38:13.531257,99,https://out.example.com/r/114/99,RXBDNR6BN78X2TZ97X2XREZF4X
116,2024-11-01 12:53:45.560989,100,https://out.example.com/r/116/100,ZMFP9RT2YEQ3TE7EB85EVGK01H
116,2024-10-31 02:18:33.245288,101,https://out.example.com/r/116/101,SAKYQK0SG3A5CWJENN31Z6NYTX
117,2024-08-02 07:39:23.968918,102,https://out.example.com/r/117/102,1G7QC0C6JGCGK6ZAXBSGY3BPGB
117,2024-07-30 15:47:36.576945,103,https://out.example.com/r/117/103,HKJJ4AQ2J3T53JX7XS7PREGG9M
117,2024-07-23 11:30:37.095251,104,https://out.example.com/r/117/104,TGHRE7YPYSJ2JHBW8EXDDPJ89Q
118,2025-12-04 03:41:22.234730,105,https://out.example.com/r/118/105,544RR40KW1WGAVK5MSPKMAZE10
118,2025-12-04 03:35:42.741563,106,https://out.example.com/r/118/106,2J64Y5R3FCE3QJJ5KFTV3B1C5E
